,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,AS,R7,ST,BS,P7,TO,PC1,PC2,cluster
68,GULLDEN Isabelle,5,5,5,1,1,1,1,0,0,0,0,0,4,6,0,0,18,4,4,0,1,13,0.5078142850247014,-0.26849380239609116,4
69,GUTIERREZ Jennifer,0,1,1,2,8,6,0,0,3,1,0,0,1,0,0,2,1,1,2,0,3,4,0.12724833830495366,0.40203378634400566,2
70,HAFRA Noemi,0,0,0,0,1,4,2,3,3,0,0,0,6,9,0,2,6,0,1,2,1,12,0.2632496067015074,-0.25149025794505786,0
71,HAGMAN Nathalie,7,3,1,0,3,5,0,0,3,0,0,0,0,1,0,0,2,1,0,0,2,3,-0.08355509967749461,0.05503987840868263,3
72,HANSEN Andrea Ulrikka Aagot,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.38981296652404135,0.039040097903917916,0
73,HANSEN Anne Mette,8,3,2,0,4,5,8,2,1,0,0,0,4,5,0,0,14,7,2,3,3,13,0.6861323987783055,-0.09334914647513931,4
74,HANSEN Maibritt Toft,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.37915406652688727,-0.0959594906236669,1
75,HANSSON Elin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.42518917039674947,-0.11711981900542531,1
76,HAUGSTED Line,0,0,2,1,1,1,0,1,2,0,0,0,7,13,0,3,8,1,9,12,5,3,0.6003240796052574,0.05181658975702501,4
77,HEINDAHL Kathrine,0,0,3,2,2,2,0,0,1,0,0,0,0,0,0,5,1,2,2,6,3,4,0.18675774417742028,0.11105183924487905,3
78,HELEMBAI Fanny,0,0,6,1,0,0,0,0,1,0,0,1,0,0,0,2,2,1,2,1,3,3,-0.025665891845501734,0.04245837941078579,3
79,HERNANDEZ Ainhoa,0,0,9,5,3,0,0,0,2,0,0,0,1,1,0,4,7,6,2,3,2,2,0.3049881456882523,0.14578802934113666,3
80,HERREM Camilla,0,0,0,0,12,9,0,0,21,5,0,0,0,0,0,0,3,0,7,0,1,5,0.2677656528728919,1.1669407523821713,2
81,HOJLUND Mie Enggrob,0,0,1,0,1,1,6,1,0,2,0,0,7,13,0,0,13,6,2,0,0,5,0.30236306924547723,-0.1330578272797065,0
82,HOUSHEER Dione,0,0,1,0,3,1,4,2,0,0,0,0,6,11,0,1,12,3,2,0,0,5,0.1851514733336598,-0.22892708626831826,0
83,HURYCHOVA Marketa,0,0,0,0,2,1,0,3,0,0,0,0,3,7,0,1,6,1,1,0,4,3,0.06022852473626399,-0.13377138786786047,0
84,IDEHN Filippa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,-0.3968856775924077,-0.1318328165497639,1
85,ILINA Ekaterina,0,1,3,0,2,1,1,1,0,0,0,0,4,7,0,0,2,0,1,0,0,3,-0.14873152339395035,-0.18088956941329168,0
86,ILLARIONOVA Anastasiia,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-0.3441867632011041,-0.10699642112698263,1
87,IUGANU Ana,0,0,1,0,5,5,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,1,-0.20022382186552307,0.19464034038141237,2
88,IVERSEN Rikke,0,0,4,1,2,0,0,0,2,0,1,0,0,0,0,1,3,0,7,2,2,5,0.11010483146274645,0.20149563895216147,3
89,JACOBSEN Marit,1,0,1,1,5,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,-0.2583322594941446,0.1359652397086716,2
90,JANJUSEVIC Andjela,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,1,1,0,0,1,0,5,-0.24239423175128127,-0.1530284547738281,0
91,JAPUNDZA Tena,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,2,-0.06516716275244643,0.19704071727602623,3
92,JAUKOVIC Durdina,1,0,1,0,3,3,0,1,1,0,0,0,19,23,0,2,11,2,6,5,4,8,0.7428298268285871,-0.24986945939848693,4
93,JENSEN Trine Ostergaard,0,0,2,0,17,9,0,0,3,0,0,0,0,0,0,4,1,2,2,0,5,2,0.26076116652303616,0.7047227580684366,2
94,JERABKOVA Marketa,4,2,0,1,2,3,2,0,0,0,0,0,14,20,0,1,2,4,3,1,3,10,0.5753616431405975,-0.31636157598387593,4
95,JEZIC Katarina,0,0,15,2,4,0,0,0,2,0,0,0,0,0,0,0,7,5,3,0,2,3,0.11696383558758038,0.2000770589497518,3
96,JORGENSEN Kristina,3,3,1,4,5,4,2,0,2,2,1,0,7,7,0,1,17,0,6,2,4,11,0.7576506519200876,0.19312378348921064,4
97,JOVOVIC Jovana,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,-0.396808547612157,-0.1166520945913023,1
98,KACSOR Greta,0,0,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,1,-0.3410845636790272,-0.20378680961806664,0
